date,total_assets
2019-01-02,1000000.0
2019-01-02,979861.9774771557
2019-01-03,1005435.6885956421
2019-01-04,1021575.8452376022
2019-01-07,1038370.3169540063
2019-01-08,1052983.9751852646
2019-01-09,1068742.253523697
2019-01-10,1068578.7035792961
2019-01-11,1062907.9218543663
2019-01-14,1091480.073540081
2019-01-15,1097642.050296177
2019-01-16,1108547.5870298042
2019-01-17,1108547.377029766
2019-01-18,1106911.55698954
2019-01-22,1121742.6860798493
2019-01-23,1147643.1043461456
2019-01-24,1143553.8068469658
2019-01-25,1132048.7136510506
2019-01-28,1127468.6286195412
2019-01-29,1160675.548650612
2019-01-30,1171363.0044263497
2019-01-31,1201079.8636187208
2019-02-01,1200480.2194574967
2019-02-04,1193773.8818548813
2019-02-05,1202607.134529461
2019-02-06,1196609.2927173271
2019-02-07,1224799.681000103
2019-02-08,1220656.0476850166
2019-02-11,1223873.1969493523
2019-02-12,1211386.7859920159
2019-02-13,1227744.8959921494
2019-02-14,1236523.582851757
2019-02-15,1253590.188642849
2019-02-19,1235814.2768624916
2019-02-20,1233306.916087021
2019-02-21,1254682.1678365362
2019-02-22,1275293.7927807465
2019-02-25,1284399.6495293274
2019-02-26,1389800.4202803269
2019-02-27,1342853.162851204
2019-02-28,1338491.0585802689
2019-03-01,1322514.3019817963
2019-03-04,1277802.421055664
2019-03-05,1278347.266902794
2019-03-06,1278783.4911192548
2019-03-07,1279383.4502810135
2019-03-08,1313463.2085474625
2019-03-11,1309864.6485794678
2019-03-12,1323660.334488739
2019-03-13,1323714.7753046646
2019-03-14,1307138.3743466034
2019-03-15,1314172.8295372622
2019-03-18,1322296.8910235062
2019-03-19,1340399.792693962
2019-03-20,1362047.2385157242
2019-03-21,1321533.5644177094
2019-03-22,1318643.5677403107
2019-03-25,1331566.2652166977
2019-03-26,1305666.0069502487
2019-03-27,1299886.5160950318
2019-03-28,1324369.3077801361
2019-03-29,1316354.350225319
2019-04-01,1309756.9219502106
2019-04-02,1320717.2344969406
2019-04-03,1292690.176159729
2019-04-04,1302396.5593708649
2019-04-05,1302560.6220129626
2019-04-08,1312865.9318855898
2019-04-09,1322408.1428507462
2019-04-10,1341001.6443546906
2019-04-11,1334077.0259932175
2019-04-12,1353488.0428122177
2019-04-15,1333095.1436270368
2019-04-16,1305559.135320534
2019-04-17,1283911.8269966736
2019-04-18,1304740.907700409
2019-04-22,1314610.9085558548
2019-04-23,1325625.5244177475
2019-04-24,1338439.170265068
2019-04-25,1340511.9220217362
2019-04-26,1358832.7619503632
2019-04-29,1356815.2335079804
2019-04-30,1343513.2428282392
2019-05-01,1345367.3036268842
2019-05-02,1367397.0328520432
2019-05-03,1351420.698554863
2019-05-06,1298911.7385319367
2019-05-07,1300492.7502573624
2019-05-08,1296839.0944737091
2019-05-09,1281136.0194510117
2019-05-10,1224154.9710243836
2019-05-13,1236969.2018717423
2019-05-14,1198255.9227560654
2019-05-15,1225955.9510077133
2019-05-16,1230262.9419649735
2019-05-17,1219738.8936356201
2019-05-20,1241823.0084770813
2019-05-21,1243240.682757248
2019-05-22,1176664.375249733
2019-05-23,1179227.9945362704
2019-05-24,1169522.92362677
2019-05-28,1174103.321159233
2019-05-29,1114014.6977976456
2019-05-30,1091331.0085962906
2019-05-31,1072574.3169506683
2019-06-03,1099892.6744984284
2019-06-04,1086261.2160318985
2019-06-05,1077155.1169813767
2019-06-06,1066250.7327498093
2019-06-07,1084735.1053198471
2019-06-10,1094877.7027491226
2019-06-11,1107201.0260637894
2019-06-12,1120396.8528116837
2019-06-13,1108509.7010153427
2019-06-14,1117834.0285242691
2019-06-17,1119743.4578360214
2019-06-18,1140300.0394648209
2019-06-19,1126777.3478277817
2019-06-20,1115053.2684763565
2019-06-21,1082446.0278032913
2019-06-24,1082608.3452490463
2019-06-25,1088279.584474434
2019-06-26,1117234.4368628159
2019-06-27,1111073.5103033676
2019-06-28,1121270.18104731
2019-07-01,1116526.5635718002
2019-07-02,1139373.7027166977
2019-07-03,1141936.9570044174
2019-07-05,1144172.8685072556
2019-07-08,1174217.7202891007
2019-07-09,1170618.540319313
2019-07-10,1186867.4309919968
2019-07-11,1182941.746135582
2019-07-12,1197773.0802248612
2019-07-15,1198918.817733635
2019-07-16,1219475.12686335
2019-07-17,1212223.6911104813
2019-07-18,1211951.0745371478
2019-07-19,1208298.513555397
2019-07-22,1221165.447717537
2019-07-23,1227000.2043875353
2019-07-24,1218166.5919092786
2019-07-25,1237960.8294333115
2019-07-26,1230436.28191172
2019-07-29,1242050.7769335404
2019-07-30,1235295.9510153427
2019-07-31,1229027.0453280103
2019-08-01,1208142.2336119309
2019-08-02,1169807.6802023544
2019-08-05,1167519.1401842728
2019-08-06,1155907.1576632157
2019-08-07,1172647.738563408
2019-08-08,1173411.4151705399
2019-08-09,1179462.7627962723
2019-08-12,1213052.7710302963
2019-08-13,1180934.1226919785
2019-08-14,1170246.4794195786
2019-08-15,1086605.038617958
2019-08-16,1079845.3252028122
2019-08-19,1088842.5328215256
2019-08-20,1111145.1811216965
2019-08-21,1115451.596877922
2019-08-22,1099147.1451948776
2019-08-23,1110489.8636416092
2019-08-26,1101927.8627394333
2019-08-27,1080771.804450859
2019-08-28,1091402.5919092789
2019-08-29,1110321.826000084
2019-08-30,1085837.1120146408
2019-09-03,1093253.2102106705
2019-09-04,1156284.691064705
2019-09-05,1177386.828538765
2019-09-06,1151539.7860869064
2019-09-09,1127874.2970217362
2019-09-10,1169152.452724327
2019-09-11,1140959.646942009
2019-09-12,1136106.847835411
2019-09-13,1176730.553563942
2019-09-16,1159774.881902565
2019-09-17,1146143.0861357346
2019-09-18,1139056.4378298416
2019-09-19,1135567.1719893112
2019-09-20,1143527.7085322037
2019-09-23,1131311.509347786
2019-09-24,1152522.173650612
2019-09-25,1138506.9194830551
2019-09-26,1103663.1944101944
2019-09-27,1111460.6760080948
2019-09-30,1117839.5660227432
2019-10-01,1120074.8027247086
2019-10-02,1136706.3369978562
2019-10-03,1148212.7726935043
2019-10-04,1160426.9768789902
2019-10-07,1128420.4476698532
2019-10-08,1141888.5934923782
2019-10-09,1141289.1270292893
2019-10-10,1147395.9977739945
2019-10-11,1164463.418563713
2019-10-14,1159173.7302397385
2019-10-15,1161136.6751688614
2019-10-16,1168389.488618721
2019-10-17,1159338.1001852646
2019-10-18,1157485.6368864672
2019-10-21,1163699.3294561997
2019-10-22,1184364.6502169266
2019-10-23,1208192.9844244614
2019-10-24,1224988.33364283
2019-10-25,1242983.1334856646
2019-10-28,1224662.0535563126
2019-10-29,1237687.365161766
2019-10-30,1239923.2668627396
2019-10-31,1273620.1744269028
2019-11-01,1276072.8268870013
2019-11-04,1273347.0778521195
2019-11-05,1268820.9086359635
2019-11-06,1275200.2586516037
2019-11-07,1291940.4268549576
2019-11-08,1286924.5778044357
2019-11-11,1314951.4936445847
2019-11-12,1326293.226894249
2019-11-13,1338725.8320368426
2019-11-14,1346850.7910231247
2019-11-15,1355519.8035563126
2019-11-18,1353284.9068544998
2019-11-19,1351593.1585005417
2019-11-20,1345433.009441246
2019-11-21,1346142.7852343216
2019-11-22,1364738.306934227
2019-11-25,1201649.6019667282
2019-11-26,1212011.0228537216
2019-11-27,1239000.2703131333
2019-11-29,1225314.0885313645
2019-12-02,1237856.6553038254
2019-12-03,1230277.924466957
2019-12-04,1247998.5302332535
2019-12-05,1234476.7235964432
2019-12-06,1231586.6519182816
2019-12-09,1228478.6169813767
2019-12-10,1237639.3493460312
2019-12-11,1237202.5603293073
2019-12-12,1237748.9184778824
2019-12-13,1252472.5511358872
2019-12-16,1257816.320272316
2019-12-17,1251000.2985399857
2019-12-18,1249255.5418699875
2019-12-19,1254217.7153051987
2019-12-20,1261415.9327410355
2019-12-23,1263924.6660174027
2019-12-24,1273467.096980919
2019-12-26,1271994.3068865435
2019-12-27,1261959.9985884323
2019-12-30,1260979.338523735
2019-12-31,1283666.2552260056
2020-01-02,1291408.8185099259
2020-01-03,1310111.9195364611
2020-01-06,1317637.0093630448
2020-01-07,1300898.4111593857
2020-01-08,1309078.321159233
2020-01-09,1297081.5977324143
2020-01-10,1313712.5220068588
2020-01-13,1308695.5502565994
2020-01-14,1312512.525983681
2020-01-15,1326472.0195368426
2020-01-16,1319984.105193962
2020-01-17,1326309.3068941727
2020-01-21,1329036.2186277998
2020-01-22,1335416.3436430588
2020-01-23,1324511.779411186
2020-01-24,1296972.8486040728
2020-01-27,1303900.309467186
2020-01-28,1295339.9885653153
2020-01-29,1297795.051025261
2020-01-30,1280235.265201439
2020-01-31,1286725.1868456497
2020-02-03,1309739.8061369553
2020-02-04,1317755.2034929886
2020-02-05,1341803.0361574783
2020-02-06,1340439.5201929703
2020-02-07,1349709.584386696
2020-02-10,1345948.184472908
2020-02-11,1334444.9810789719
2020-02-12,1339297.947685112
2020-02-13,1348239.9594896927
2020-02-14,1358980.633577217
2020-02-18,1356217.3735331192
2020-02-19,1358561.7418650284
2020-02-20,1325082.1677569046
2020-02-21,1294161.1077383652
2020-02-24,1074031.6635340347
2020-02-25,1033791.7611063614
2020-02-26,1022773.3402422563
2020-02-27,1006742.6902350083
2020-02-28,1032209.5744837418
2020-03-02,992678.0202482834
2020-03-03,1013672.6860960617
2020-03-04,987284.1102942124
2020-03-05,960670.6810396805
2020-03-06,865838.0294359816
2020-03-09,913224.7085798874
2020-03-10,859020.4803007736
2020-03-11,766423.7727965012
2020-03-12,765657.3502889614
2020-03-13,692223.4531188983
2020-03-16,691531.2309038047
2020-03-17,691531.2309038047
2020-03-18,691531.2309038047
2020-03-19,691531.2309038047
2020-03-20,703499.0305540026
2020-03-23,773578.7254697742
2020-03-24,799040.3631822529
2020-03-25,808618.57292766
2020-03-26,782338.6873342457
2020-03-27,801254.4521638813
2020-03-30,789173.4119092884
2020-03-31,788692.04750461
2020-04-01,796778.1873342457
2020-04-02,782916.2805540026
2020-04-03,824694.5686895313
2020-04-06,831769.8928434314
2020-04-07,847894.0305540026
2020-04-08,856172.683096117
2020-04-09,880623.5602151813
2020-04-13,904544.9860631885
2020-04-14,896940.1555559101
2020-04-15,915904.0623342457
2020-04-16,931017.4394514026
2020-04-17,935156.7657224598
2020-04-20,897710.2614881458
2020-04-21,923460.7508928241
2020-04-22,924567.7403013172
2020-04-23,931113.7233488025
2020-04-24,947622.7763196888
2020-04-27,931594.9225065174
2020-04-28,951569.6449605884
2020-04-29,945841.9648763599
2020-04-30,937033.8610631885
2020-05-01,923364.4669954242
2020-05-04,954024.3335210743
2020-05-05,968560.1174184742
2020-05-06,1025836.808096117
2020-05-07,1029831.7085210743
2020-05-08,1050528.3398763598
2020-05-11,1030842.4691144886
2020-05-12,1038399.2127553882
2020-05-13,1056833.6131803454
2020-05-14,1072524.4733526171
2020-05-15,1088456.0432683886
2020-05-18,1093317.3886053027
2020-05-19,1128597.9458066882
2020-05-20,1104628.3229276598
2020-05-21,1145203.2826749748
2020-05-22,1112666.2657262743
2020-05-26,1115650.5157224596
2020-05-27,1104098.8716566027
2020-05-28,1132400.2784368456
2020-05-29,1147032.3462316454
2020-06-01,1154492.6958105029
2020-06-02,1123447.8589422167
2020-06-03,1091103.2996236742
2020-06-04,1113725.1682683886
2020-06-05,1144529.5157224596
2020-06-08,1124169.7678434313
2020-06-09,1119934.1576749748
2020-06-10,1068144.5475027026
2020-06-11,1067807.553861803
2020-06-12,1089226.2042829455
2020-06-15,1100777.848348803
2020-06-16,1103376.962755388
2020-06-17,1108623.2233526171
2020-06-18,1110548.5708066882
2020-06-19,1120896.7763196891
2020-06-22,1103713.8462316454
2020-06-23,1075268.0136053027
2020-06-24,1092114.0602170886
2020-06-25,1084846.1682683886
2020-06-26,1093028.536913103
2020-06-29,1105446.5157262743
2020-06-30,1103954.4458105029
2020-07-01,1109585.8419973315
2020-07-02,1135480.7021657885
2020-07-06,1121811.3631803454
2020-07-07,1168739.7381803454
2020-07-08,1196463.5517408312
2020-07-09,1198292.50513286
2020-07-10,1160268.5178434313
2020-07-13,1180820.7233526171
2020-07-14,1157573.1195394457
2020-07-15,1142556.0263196891
2020-07-16,1154252.0962316454
2020-07-17,1210999.3356382311
2020-07-20,1200025.2847921313
2020-07-21,1205030.9458105029
2020-07-22,1196078.526315874
2020-07-23,1173312.2318250602
2020-07-24,1192035.4839422167
2020-07-27,1178317.8928434313
2020-07-28,1196319.1258947314
2020-07-29,1211913.8123342455
2020-07-30,1231792.1407262743
2020-07-31,1224620.5326749748
2020-08-03,1226930.9055540026
2020-08-04,1271163.8822500175
2020-08-05,1279731.2763196891
2020-08-06,1257446.401315874
2020-08-07,1242910.617418474
2020-08-10,1228471.117418474
2020-08-11,1250563.5347921313
2020-08-12,1258938.4712316454
2020-08-13,1247146.227586931
2020-08-14,1263270.25513286
2020-08-17,1279153.683099932
2020-08-18,1297058.742418474
2020-08-19,1311690.7000486315
2020-08-20,1296336.7233526171
2020-08-21,1285458.9564039172
2020-08-24,1256194.93097896
2020-08-25,1267987.1746236742
2020-08-26,1229144.994535631
2020-08-27,1225775.7191144885
2020-08-28,1238963.8589422167
2020-08-31,1244210.1195394457
2020-09-01,1239204.4585210741
2020-09-02,1165803.63013286
2020-09-03,1134229.3419935168
2020-09-04,1125950.6894514025
2020-09-08,1147465.5136053027
2020-09-09,1140534.50513286
2020-09-10,1169317.3314001025
2020-09-11,1182746.0708066882
2020-09-14,1194057.0051290453
2020-09-15,1188233.041147417
2020-09-16,1162049.4394514025
2020-09-17,1162867.6322500175
2020-09-18,1167728.977586931
2020-09-21,1186452.1195394457
2020-09-22,1150979.1047079028
2020-09-23,1145492.134367174
2020-09-24,1165466.7466566027
2020-09-25,1183756.8314001025
2020-09-28,1186404.087755388
2020-09-29,1178029.151315874
2020-09-30,1205849.2487737597
2020-10-01,1180002.5305540026
2020-10-02,1196896.7191144885
2020-10-05,1190013.962755388
2020-10-06,1207918.9119092883
2020-10-07,1200939.7614881457
2020-10-08,1215427.4034368456
2020-10-09,1218219.0856382311
2020-10-12,1225198.1258947314
2020-10-13,1232658.5856382311
2020-10-14,1212058.2381803454
2020-10-15,1185778.352586931
2020-10-16,1166429.365301317
2020-10-19,1151701.1237737597
2020-10-20,1135191.9606382311
2020-10-21,1143614.928861803
2020-10-22,1138512.9839460314
2020-10-23,1114832.2127592028
2020-10-26,1114447.1873342455
2020-10-27,1087445.2826749748
2020-10-28,1101114.7318250602
2020-10-29,1064630.9564001025
2020-10-30,1067807.553861803
2020-11-02,1097023.5475027026
2020-11-03,1131967.1110631884
2020-11-04,1175478.1788579882
2020-11-05,1203442.5919973315
2020-11-06,1213550.3080961169
2020-11-09,1168258.4288579882
2020-11-10,1216775.0475065173
2020-11-11,1212732.00513286
2020-11-12,1245172.848348803
2020-11-13,1340473.526315874
2020-11-16,1413681.7869092883
2020-11-17,1353180.2466566027
2020-11-18,1383888.2000486315
2020-11-19,1405499.308099932
2020-11-20,1424896.4373342455
2020-11-23,1430335.2657262743
2020-11-24,1430912.8589460314
2020-11-25,1421382.8462316454
2020-11-27,1414692.5475027026
2020-11-30,1419072.4733526171
2020-12-01,1411371.41403026
2020-12-02,1427736.1513196891
2020-12-03,1464605.0623342455
2020-12-04,1457866.6216566027
2020-12-07,1493147.1788579882
2020-12-08,1454304.8886053027
2020-12-09,1481836.244535631
2020-12-10,1491751.2826749748
2020-12-11,1512688.6237737597
2020-12-14,1527946.3165723742
2020-12-15,1556247.7233526171
2020-12-16,1595090.0136053027
2020-12-17,1711231.7487737597
2020-12-18,1713590.1534368456
2020-12-21,1790793.3144552172
2020-12-22,1755946.0347921313
2020-12-23,1767112.5432683886
2020-12-24,1739870.03903026
2020-12-28,1714456.598348803
2020-12-29,1712483.1089460314
2020-12-30,1710557.8716566027
2020-12-31,1692604.7805540026
2021-01-04,1685336.8886053027
2021-01-05,1661896.7169973315
2021-01-06,1747715.524198717
2021-01-07,1764272.8292829455
2021-01-08,1755849.7508947314
2021-01-11,1783188.53903026
2021-01-12,1760662.9542829455
2021-01-13,1747956.2339422167
2021-01-14,1756186.744535631
2021-01-15,1752239.8758947314
2021-01-19,1783525.4225065173
2021-01-20,1759796.619535631
2021-01-21,1754983.416147417
2021-01-22,1736500.8737737597
2021-01-25,1705118.933099932
2021-01-26,1613235.6725027026
2021-01-27,1699631.9627592028
2021-01-28,1688224.7445394457
2021-01-29,1739292.4458105029
2021-02-01,1864434.7424222887
2021-02-02,1817362.0517408312
2021-02-03,1840994.68097896
2021-02-04,1828287.9606382311
2021-02-05,1855000.9034406603
2021-02-08,1881810.350469774
2021-02-09,1887778.63013286
2021-02-10,1882484.1174222887
2021-02-11,1901784.9627592028
2021-02-12,1892736.259367174
2021-02-16,1903229.0008909167
2021-02-17,1879692.5453855456
2021-02-18,1910352.4669935168
2021-02-19,1849947.2106382311
2021-02-22,1818709.6958105029
2021-02-23,1779001.0708105029
2021-02-24,1732939.1407224596
2021-02-25,1724612.3462316454
2021-02-26,1768315.8716566027
2021-03-01,1707044.2805540026
2021-03-02,1654580.683099932
2021-03-03,1615497.7932683886
2021-03-04,1611117.867418474
2021-03-05,1595475.03903026
2021-03-08,1648131.0941144885
2021-03-09,1610925.2996236742
2021-03-10,1657516.791147417
2021-03-11,1648660.5453855456
2021-03-12,1657131.7657224596
2021-03-15,1636483.276315874
2021-03-16,1621658.6407262743
2021-03-17,1528427.6258947314
2021-03-18,1525058.4606382311
2021-03-19,1556777.1746236742
2021-03-22,1557547.3356382311
2021-03-23,1545033.0729276598
2021-03-24,1556969.742418474
2021-03-25,1538824.0835210741
2021-03-26,1541326.91403026
2021-03-29,1530641.7148763598
2021-03-30,1550135.0178434313
2021-03-31,1578965.8758947314
2021-04-01,1593309.0919973315
2021-04-05,1623872.7297079028
2021-04-06,1629600.4097921313
2021-04-07,1652125.9945394457
2021-04-08,1682256.4648763598
2021-04-09,1710413.4458105029
2021-04-12,1732265.2636053027
2021-04-13,1737463.492418474
2021-04-14,1782707.2297079028
2021-04-15,1764754.1386053027
2021-04-16,1766246.2085210741
2021-04-19,1732746.5729276598
2021-04-20,1716429.977586931
2021-04-21,1698139.8928434313
2021-04-22,1725141.7975027026
2021-04-23,1739821.89708156
2021-04-26,1725430.53903026
2021-04-27,1733516.7339422167
2021-04-28,1709402.6852170886
2021-04-29,1700931.5750448168
2021-04-30,1680186.8017408312
2021-05-03,1663436.928861803
2021-05-04,1642162.8144514025
2021-05-05,1624161.5814001025
2021-05-06,1647746.0686895312
2021-05-07,1642932.865301317
2021-05-10,1652992.4394514025
2021-05-11,1612850.536913103
2021-05-12,1558894.9797079028
2021-05-13,1621177.3314039172
2021-05-14,1616267.9542829455
2021-05-17,1636916.4436895312
2021-05-18,1615209.0517408312
2021-05-19,1648949.286913103
2021-05-20,1744538.8165723742
2021-05-21,1754502.1068250602
2021-05-24,1757197.5051290453
2021-05-25,1770144.8250486315
2021-05-26,1767690.1364881457
2021-05-27,1748389.401315874
2021-05-28,1734431.2106382311
2021-06-01,1721531.9225027026
2021-06-02,1690053.8080961169
2021-06-03,1719991.7106382311
2021-06-04,1715274.791147417
2021-06-07,1700690.865301317
2021-06-08,1696118.3716566027
2021-06-09,1744538.8165723742
2021-06-10,1760855.411913103
2021-06-11,1769085.9225065173
2021-06-14,1736789.615301317
2021-06-15,1749592.6195394457
2021-06-16,1790841.4564039172
2021-06-17,1789108.7869092883
2021-06-18,1785402.6280118884
2021-06-21,1758737.7169935168
2021-06-22,1773129.0750448168
2021-06-23,1793392.428861803
